CV-structure	X_%PULT_Tk	B_%PULT_Tk	B_%APULT_Tk	C_%PULT_Tk	G_%ULT_Tk	G_%PULT_Tk	G_%APULT_Tk	I_%PULT_Tk	I_%APULT_Tk	N_%PULT_Tk	P_%PULT_Tk	R_%PULT_Tk	S_%PULT_Tk	S_%APULT_Tk	S_%PAPULT_Tk	V_%ULT_Tk	V_%PULT_Tk	V_%APULT_Tk	V_%PAPULT_Tk	X_nPULT_Tk	B_nPULT_Tk	B_nAPULT_Tk	C_nPULT_Tk	G_nULT_Tk	G_nPULT_Tk	G_nAPULT_Tk	I_nPULT_Tk	I_nAPULT_Tk	N_nPULT_Tk	P_nPULT_Tk	R_nPULT_Tk	S_nPULT_Tk	S_nAPULT_Tk	S_nPAPULT_Tk	V_nULT_Tk	V_nPULT_Tk	V_nAPULT_Tk	V_nPAPULT_Tk
VCCVCVCCVCVCCVCV	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VCCVCVCCVCVCV	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	0	72.7272727272727	27.2727272727273	0	NA	NA	NA	NA	0	0	7	NA	NA	NA	NA	NA	NA	NA	NA	0	8	3	0
VCCVCVCCVCVCVCV	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VCCVCVCCVCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	0	0	NA	NA	NA	NA
VCCVCVCCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	0	0	0	23	0	0
VCCVCVCCVVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4	0	0
VCCVCVCCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	70	30	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	21	9	0
VCCVCVCCVVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	7	0
VCCVCVCV	NA	NA	NA	NA	0	63.0188679245283	36.9811320754717	0	100	NA	NA	NA	53.5714285714286	46.4285714285714	0	0	72.9411764705882	26.2443438914027	0.81447963800905	NA	NA	NA	NA	0	167	98	0	16	NA	NA	NA	240	208	0	0	806	290	9
VCCVCVCVCCV	NA	100	0	NA	0	0	100	NA	NA	NA	NA	NA	99.1304347826087	0.869565217391304	0	0	98.3333333333333	1.66666666666667	0	NA	16	0	NA	0	0	1	NA	NA	NA	NA	NA	114	1	0	0	59	1	0
VCCVCVCVCCVCV	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	0	0	4	NA	NA	NA	NA	NA	NA	NA	NA	0	0	9	0
VCCVCVCVCV	NA	NA	NA	NA	0	62.3376623376623	37.6623376623377	NA	NA	NA	NA	NA	81.5789473684211	18.4210526315789	0	0	68.4210526315789	27.8195488721804	3.7593984962406	NA	NA	NA	NA	0	48	29	NA	NA	NA	NA	NA	62	14	0	0	182	74	10
VCCVCVCVCVCCV	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	36	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	0	0	0	2	0	0
VCCVCVCVCVCV	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	0	11.1111111111111	85.1851851851852	3.7037037037037	NA	NA	NA	NA	0	0	10	NA	NA	NA	NA	NA	NA	NA	NA	0	3	23	1
VCCVCVCVCVV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	10	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VCCVCVCVCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	0	0	NA	NA	NA	NA
VCCVCVCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28.125	71.875	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	23	0	0	7	0	0
VCCVCVCVVCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	100	0	0	0	95.8333333333333	0	4.16666666666667	NA	NA	NA	NA	0	19	0	NA	NA	NA	NA	NA	41	0	0	0	23	0	1
VCCVCVCVVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	3	0
VCCVCVV	NA	NA	NA	NA	0	68.4210526315789	31.5789473684211	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	0	13	6	NA	NA	NA	NA	NA	92	0	0	0	13	0	0
VCCVCVVCCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	0	26	0	NA	NA	NA	NA	NA	74	0	0	0	7	0	0
VCCVCVVCCVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	7	0	0
VCCVCVVCV	100	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	100	0	0	0	80.9523809523809	19.047619047619	0	1	NA	NA	NA	0	77	0	NA	NA	NA	NA	NA	146	0	0	0	34	8	0
VCCVCVVCVCCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	0
VCCVCVVCVCCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0
VCCVCVVCVCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	100	0	0	0	47.0588235294118	52.9411764705882	0	NA	NA	NA	NA	0	26	0	NA	NA	NA	NA	NA	8	0	0	0	8	9	0
VCCVCVVCVCVCCV	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VCCVCVVCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	0	0	0	0	1	0
VCCVCVVVCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VCCVCVVVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	0
VCCVV	NA	100	0	100	0	86.3636363636364	13.6363636363636	NA	NA	NA	NA	NA	100	0	0	0	99.5305164319249	0.469483568075117	0	NA	226	0	20	0	38	6	NA	NA	NA	NA	NA	722	0	0	0	212	1	0
VCCVVCCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0
VCCVVCCV	NA	100	0	NA	0	100	0	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	89	0	NA	0	31	0	NA	NA	NA	NA	NA	206	0	0	0	90	0	0
VCCVVCCVCCV	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	76.1904761904762	23.8095238095238	0	NA	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	16	5	0
VCCVVCCVCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	100	0	0	0	78.3783783783784	21.6216216216216	0	NA	NA	NA	NA	0	10	0	NA	NA	NA	NA	NA	18	0	0	0	58	16	0
VCCVVCCVCVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	0	0
VCCVVCCVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	3	0
VCCVVCCVCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	50	50	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	0	1	1	0	0
VCCVVCCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0
VCCVVCCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	0
VCCVVCCVVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0
VCCVVCV	NA	100	0	NA	0	100	0	NA	NA	NA	100	NA	100	0	0	0	95.417348608838	4.58265139116203	0	NA	163	0	NA	0	104	0	NA	NA	NA	43	NA	102	0	0	0	583	28	0
VCCVVCVCCV	NA	100	0	NA	0	0	100	NA	NA	NA	NA	NA	100	0	0	0	81.8181818181818	18.1818181818182	0	NA	10	0	NA	0	0	2	NA	NA	NA	NA	NA	5	0	0	0	9	2	0
VCCVVCVCCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	0
VCCVVCVCV	NA	NA	NA	NA	0	15	85	NA	NA	NA	NA	NA	100	0	0	0	86	14	0	NA	NA	NA	NA	0	3	17	NA	NA	NA	NA	NA	13	0	0	0	43	7	0
VCCVVCVCVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	0	0	NA	NA	NA	NA
VCCVVCVCVCCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	NA	NA	NA	NA
VCCVVCVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	41.1764705882353	5.88235294117647	52.9411764705882	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	0	0	0	7	1	9
VCCVVCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	0	0	NA	NA	NA	NA
VCCVVV	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	0	0	9	NA	NA	NA	NA	NA	NA	NA	NA	0	23	0	0
VCCVVVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	0	0
VCCVVVCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	51.2820512820513	48.7179487179487	0	NA	NA	NA	NA	0	6	0	NA	NA	NA	NA	NA	NA	NA	NA	0	20	19	0
VCCVVVCVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0
VCCVVVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0
VCCVVVCVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0
VCCVVVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	0	0	NA	NA	NA	NA
VCCAVCCCVCCVCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	28	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VCV	NA	100	0	100	0	100	0	100	0	100	NA	100	100	0	0	0	100	0	0	NA	555	0	42	0	1	0	364	0	12	NA	857	940	0	0	0	2195	0	0
VCVCC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	0	0	NA	NA	NA	NA
VCVCCCV	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	47	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	0	0	0	6	0	0
VCVCCCVCCV	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	0	0	5	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0
VCVCCCVCCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0
VCVCCCVCV	NA	NA	NA	NA	0	2.85714285714286	97.1428571428571	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	0	1	34	NA	NA	NA	NA	NA	14	0	0	0	3	0	0
VCVCCCVCVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	0	0	NA	NA	NA	NA
VCVCCCVCVCV	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	0	0	19	NA	NA	NA	NA	NA	NA	NA	NA	0	0	3	0
VCVCCCVCVCVCCVCV	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	NA	NA	NA	NA	NA	0	5	0	NA	NA	NA	NA
VCVCCCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55	0	0	0	1	0	0
VCVCCV	NA	100	0	NA	0	98.8795518207283	1.12044817927171	100	0	NA	100	NA	87.0056497175141	12.9943502824859	0	0	100	0	0	NA	370	0	NA	0	353	4	19	0	NA	8	NA	308	46	0	0	389	0	0
VCVCCVCCV	NA	NA	NA	NA	0	60	40	NA	NA	NA	NA	NA	100	0	0	0	84.6153846153846	15.3846153846154	0	NA	NA	NA	NA	0	9	6	NA	NA	NA	NA	NA	80	0	0	0	22	4	0
VCVCCVCCVCCVCVCCV	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VCVCCVCCVCV	NA	NA	NA	NA	0	81.8181818181818	18.1818181818182	NA	NA	NA	NA	NA	0	100	0	0	0	100	0	NA	NA	NA	NA	0	9	2	NA	NA	NA	NA	NA	0	8	0	0	0	4	0
VCVCCVCV	NA	NA	NA	NA	0	37.7777777777778	62.2222222222222	NA	NA	NA	NA	NA	58.5585585585586	41.4414414414414	0	0	32.9341317365269	67.065868263473	0	NA	NA	NA	NA	0	17	28	NA	NA	NA	NA	NA	65	46	0	0	55	112	0
VCVCCVCVCCV	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	29	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	0	0	0	9	0	0
VCVCCVCVCV	100	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	0	100	0	0	24.3243243243243	70.2702702702703	5.40540540540541	1	NA	NA	NA	0	0	4	NA	NA	NA	NA	NA	0	7	0	0	9	26	2
VCVCCVCVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	0
VCVCCVCVCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	0	0	NA	NA	NA	NA
VCVCCVCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	0	0	NA	NA	NA	NA
VCVCCVCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	0	0	NA	NA	NA	NA
VCVCCVV	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	265	0	0	NA	NA	NA	NA
VCVCCVVCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	48.936170212766	51.063829787234	0	0	100	0	0	NA	NA	NA	NA	0	12	0	NA	NA	NA	NA	NA	23	24	0	0	1	0	0
VCVCV	NA	NA	NA	NA	0	48.80174291939	51.19825708061	NA	NA	NA	NA	NA	68.3817427385892	31.6182572614108	0	0	68.456678700361	31.543321299639	0	NA	NA	NA	NA	0	224	235	NA	NA	NA	NA	NA	824	381	0	0	1517	699	0
VCVCVCCV	NA	NA	NA	NA	0	91.8918918918919	8.10810810810811	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	0	34	3	NA	NA	NA	NA	NA	263	0	0	0	36	0	0
VCVCVCCVCCV	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	16	0	0
VCVCVCCVCCVCV	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VCVCVCCVCV	NA	NA	NA	NA	0	81.9444444444444	18.0555555555556	NA	NA	NA	NA	NA	73.1707317073171	26.8292682926829	0	0	80.4347826086957	19.5652173913043	0	NA	NA	NA	NA	0	59	13	NA	NA	NA	NA	NA	30	11	0	0	37	9	0
VCVCVCCVCVCCV	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VCVCVCCVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	0
VCVCVCCVCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	0	0	NA	NA	NA	NA
VCVCVCCVV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VCVCVCV	NA	NA	NA	NA	0	64.8484848484848	35.1515151515151	NA	NA	NA	NA	NA	80.7625649913345	19.2374350086655	0	0	47.5161987041037	47.732181425486	4.75161987041037	NA	NA	NA	NA	0	107	58	NA	NA	NA	NA	NA	466	111	0	0	220	221	22
VCVCVCVCCV	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	0	0	4	NA	NA	NA	NA	NA	23	0	0	0	14	0	0
VCVCVCVCCVCV	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VCVCVCVCV	NA	NA	NA	NA	0	78.0952380952381	21.9047619047619	NA	NA	NA	NA	NA	41.025641025641	58.974358974359	0	0	62.1951219512195	29.2682926829268	8.53658536585366	NA	NA	NA	NA	0	82	23	NA	NA	NA	NA	NA	16	23	0	0	51	24	7
VCVCVCVCVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0
VCVCVCVCVCCVCV	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VCVCVCVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	50	50	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	0
VCVCVCVCVV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	4	0	NA	NA	NA	NA	NA	8	0	0	NA	NA	NA	NA
VCVCVCVCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	0	0	NA	NA	NA	NA
VCVCVCVV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	175	0	0	NA	NA	NA	NA
VCVCVCVVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	127	0	0	NA	NA	NA	NA
VCVCVV	NA	100	0	NA	0	100	0	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	10	0	NA	0	7	0	NA	NA	NA	NA	NA	139	0	0	0	27	0	0
VCVCVVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	12	0	0
VCVCVVCCVCCV	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VCVCVVCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	100	0	0	0	90.2777777777778	9.72222222222222	0	NA	NA	NA	NA	0	69	0	NA	NA	NA	NA	NA	126	0	0	0	65	7	0
VCVCVVCVCCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	0	6	0	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	0
VCVCVVCVCCVCCVCV	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VCVCVVCVCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	53.8461538461538	46.1538461538462	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	0	0	0	7	6	0
VCVCVVV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	3	0	NA	NA	NA	NA	NA	11	0	0	NA	NA	NA	NA
VCVV	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	95.3206239168111	4.67937608318891	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	22	0	NA	NA	NA	550	27	0	0	17	0	0
VCVVCCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	0	12	0	NA	NA	NA	NA	NA	30	0	0	0	1	0	0
VCVVCCVCCV	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	13	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	5	0	0
VCVVCCVCV	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	0	14	0	NA	NA	NA	NA	NA	68	0	0	0	3	0	0
VCVVCV	NA	100	0	NA	0	100	0	NA	NA	NA	NA	NA	49.738219895288	50.261780104712	0	0	95.8333333333333	4.16666666666667	0	NA	2	0	NA	0	114	0	NA	NA	NA	NA	NA	95	96	0	0	23	1	0
VCVVCVCCV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	0	0	0	1	0	0
