ending	B_%PULT_Tk	C_%PULT_Tk	G_%PULT_Tk	G_%APULT_Tk	I_%PULT_Tk	N_%PULT_Tk	P_%PULT_Tk	S_%PULT_Tk	S_%APULT_Tk	V_%PULT_Tk	V_%APULT_Tk	V_%PAPULT_Tk	B_nPULT_Tk	C_nPULT_Tk	G_nPULT_Tk	G_nAPULT_Tk	I_nPULT_Tk	N_nPULT_Tk	P_nPULT_Tk	S_nPULT_Tk	S_nAPULT_Tk	V_nPULT_Tk	V_nAPULT_Tk	V_nPAPULT_Tk
sce	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	3	0	NA	NA	NA	108	0	372	0	0
sci	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	6	0	NA	NA	NA	109	0	161	0	0
sco	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	58	0	NA	NA	NA	219	0	182	0	0
sfa	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	0
sma	NA	NA	NA	NA	NA	NA	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	20	0	1	0	0
smi	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64	0	NA	NA	NA
smo	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45	0	NA	NA	NA
spa	NA	NA	100	0	NA	NA	NA	100	0	NA	NA	NA	NA	NA	3	0	NA	NA	NA	6	0	NA	NA	NA
spe	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0	NA	NA	NA
spi	NA	NA	100	0	NA	NA	NA	100	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	3	0	NA	NA	NA
spo	NA	NA	100	0	NA	NA	NA	100	0	NA	NA	NA	NA	NA	2	0	NA	NA	NA	16	0	NA	NA	NA
ssa	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	308	0	NA	NA	NA	189	0	192	0	0
sse	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	114	0	NA	NA	NA	171	0	1146	0	0
ssi	NA	NA	100	0	NA	NA	NA	100	0	99.51219512	0.487804878	0	NA	NA	120	0	NA	NA	NA	190	0	204	1	0
sso	100	NA	100	0	100	100	100	100	0	100	0	0	451	NA	580	0	5	63	49	405	0	478	0	0
sta	100	100	100	0	100	NA	NA	100	0	100	0	0	15	3	97	0	64	NA	NA	1017	0	323	0	0
ste	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	130	0	NA	NA	NA	207	0	152	0	0
sti	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	63	0	NA	NA	NA	202	0	202	0	0
sto	100	NA	100	0	NA	100	NA	100	0	100	0	0	337	NA	178	0	NA	2297	NA	604	0	491	0	0
tmi	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0	NA	NA	NA
tmo	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	0	NA	NA	NA
tra	NA	NA	100	0	NA	100	NA	93.6440678	6.355932203	96.66666667	3.333333333	0	NA	NA	503	0	NA	126	NA	442	30	116	4	0
tre	100	100	100	0	NA	100	100	93.33333333	6.666666667	100	0	0	58	305	728	0	NA	51	95	154	11	15	0	0
tri	NA	NA	100	0	NA	100	NA	63.10904872	36.89095128	100	0	0	NA	NA	474	0	NA	176	NA	272	159	17	0	0
tro	100	NA	100	0	NA	100	100	87.26968174	12.73031826	100	0	0	222	NA	831	0	NA	304	369	521	76	19	0	0
tta	100	NA	100	0	100	100	NA	100	0	100	0	0	18	NA	505	0	2	9	NA	767	0	388	0	0
tte	100	NA	100	0	NA	100	NA	100	0	100	0	0	17	NA	490	0	NA	35	NA	643	0	264	0	0
tti	100	100	100	0	100	100	NA	100	0	100	0	0	1	194	691	0	4	532	NA	804	0	220	0	0
tto	100	NA	100	0	100	100	100	100	0	100	0	0	268	NA	784	0	13	466	421	1664	0	1076	0	0
vra	NA	NA	NA	NA	NA	NA	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	4	0	2	0	0
vre	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0	NA	NA	NA
vve	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	0	0
vvi	NA	NA	100	0	NA	NA	NA	NA	NA	100	0	0	NA	NA	1	0	NA	NA	NA	NA	NA	2	0	0
zza	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	37	0	NA	NA	NA	487	0	43	0	0
zze	NA	NA	100	0	NA	NA	NA	100	0	NA	NA	NA	NA	NA	9	0	NA	NA	NA	140	0	NA	NA	NA
zzi	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	14	0	NA	NA	NA	482	0	6	0	0
zzo	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	80	0	NA	NA	NA	505	0	9	0	0
